# Added Pont to Plane Distance, Region growing is slower now
# This can be disabled with setting z_thresh=0.0 and getting the previous speed results

(ppb) ➜  polylidar git:(major_changes_refactor) ./cmake-build/bin/run-bench --benchmark_repetitions=3 --benchmark_display_aggregates_only    
2020-06-07 10:03:27
Running ./cmake-build/bin/run-bench
Run on (24 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32K (x12)
  L1 Instruction 32K (x12)
  L2 Unified 512K (x12)
  L3 Unified 16384K (x4)
Load Average: 1.01, 0.54, 0.47
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
-----------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                               Time             CPU   Iterations
-----------------------------------------------------------------------------------------------------------------------------------------
ImagesAndSparseMesh/BM_Create_PointCloud/real_time_mean                                               106 us          106 us            3
ImagesAndSparseMesh/BM_Create_PointCloud/real_time_median                                             106 us          106 us            3
ImagesAndSparseMesh/BM_Create_PointCloud/real_time_stddev                                            1.23 us         1.23 us            3
ImagesAndSparseMesh/BM_Create_TriMesh/real_time_mean                                                  364 us          364 us            3
ImagesAndSparseMesh/BM_Create_TriMesh/real_time_median                                                363 us          363 us            3
ImagesAndSparseMesh/BM_Create_TriMesh/real_time_stddev                                               1.66 us         1.66 us            3
ImagesAndSparseMesh/BM_ComputeTriangleNormals/real_time_mean                                          304 us          304 us            3
ImagesAndSparseMesh/BM_ComputeTriangleNormals/real_time_median                                        304 us          303 us            3
ImagesAndSparseMesh/BM_ComputeTriangleNormals/real_time_stddev                                       2.03 us         2.03 us            3
ImagesAndSparseMesh/BM_CopyTriMesh/real_time_mean                                                    4750 us         4748 us            3
ImagesAndSparseMesh/BM_CopyTriMesh/real_time_median                                                  4698 us         4697 us            3
ImagesAndSparseMesh/BM_CopyTriMesh/real_time_stddev                                                   129 us          129 us            3
ImagesAndSparseMesh/BM_ExtractPlanesAndPolygons/real_time_mean                                        295 us          295 us            3
ImagesAndSparseMesh/BM_ExtractPlanesAndPolygons/real_time_median                                      295 us          295 us            3
ImagesAndSparseMesh/BM_ExtractPlanesAndPolygons/real_time_stddev                                     1.26 us         1.25 us            3
ImagesAndSparseMesh/BM_ExtractPlanesAndPolygonsOptimized/real_time_mean                               392 us          253 us            3
